supervisor_id,supervisor_name,paper_id,title,abstract,year,scholar_url,author_lookup_mode,authors,venue,doi,source_url,source_title,source_type,selection_bucket,identity_verified,identity_evidence,search_model,searched_at
s9,Michael Parkes,doi:10.1021/acs.jpcc.5c02495,Ice Nucleation Properties of Aluminum Surfaces,"The nucleation of ice from supercooled water droplets plays a critical role across various technological sectors including aviation, power transmission, shipping and space flight. Despite its importance, the fundamental mechanisms of water freezing on surfaces remain poorly understood. In this study, we investigate the freezing behavior of supercooled droplets on several aluminum alloys (1050, 5083, 5251, 6060 and 6082) using our custom-designed IceBox instrument. Our findings show that all aluminum surfaces exhibit moderate ice-nucleating capabilities. High levels of surface oxidation and magnesium content lead to higher average ice-nucleation temperatures, and rough surfaces generally promote ice formation more effectively than polished ones. An exception is the freshly polished 1050 alloy, the softest and purest aluminum examined, where micrometer-scale ""pit"" features appear to initiate ice nucleation. After surface aging, the 5251 alloy displays the highest ice-nucleating ability, while the 6082 alloy shows the lowest. Overall, our results highlight the importance of considering the interplay between surface roughness, specific defects and alloy composition when aiming to reduce ice formation on aluminum surfaces.",2025,,opencode_plaintext_search,"Carlotta E. A. Blamey-Beccaria, Michael A. Parkes, Jinjie Li, Christoph G. Salzmann",The Journal of Physical Chemistry C,10.1021/acs.jpcc.5c02495,https://doi.org/10.1021/acs.jpcc.5c02495,Ice Nucleation Properties of Aluminum Surfaces,online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T20:52:26.173673+00:00
s9,Michael Parkes,doi:10.1016/j.matdes.2025.113681,Additive metal printing on multi materials using an atmospheric pressure plasma jet on a 5-Axis platform,"Post-production embellishment of objects with metal tracks presents challenges, due to the need for multiple processing steps and the complexity of navigating intricate substrate geometries. Here we describe a flexible approach to deposit conducting metal tracks on 3D objects using an atmospheric pressure plasma jet (APPJ). APPJs offer distinct advantages over traditional inkjet printing methods as they do not require metal particle inks or post-processing. An in-house-built APPJ print head was mounted onto a 5-axis platform to demonstrate metal printing on multifaceted metal, ceramic and glass complex objects. We use finite element modelling of the flow characteristics at the jet nozzle exit to understand and predict the track deposition. The modelling was corroborated through Schlieren imaging of the gas flow as well as chemical and physical characterisation of the resulting deposited track. Conductive metallic tracks of 0.3 mm widths were deposited on non-planar surfaces with one pass at a rate of 1 mm/s, using simple aqueous metal salts with an average plasma power of 10 W. Our findings reveal conductivity, adhesion strength and precision which present a benefit for additive manufacturing.",2025,,opencode_plaintext_search,"Oliver S. J. Hagger, Michael A. Parkes, Francis Lockwood Estrin, Stefanos Agrotis, Ivan P. Parkin, Albertus D. Handoko, Daren J. Caruana",Materials & Design,10.1016/j.matdes.2025.113681,https://discovery.ucl.ac.uk/id/eprint/10204291,Additive metal printing on multi materials using an atmospheric pressure plasma jet on a 5-Axis platform,online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T20:52:26.173673+00:00
s9,Michael Parkes,doi:10.1039/d4cp02504k,A multiphoton ionisation photoelectron imaging study of thiophene,"Thiophene is a prototype for the excited state photophysics that lies at the heart of many technologies within the field of organic electronics. Here, we report a multiphoton ionisation photoelectron imaging study of gas-phase thiophene using a range of photon energies to excite transitions from the ground electronic state to the first two electronically excited singlet states, from the onset of absorption to the absorption maximum. Analysis of the photoelectron spectra and angular distributions reveal features arising from direct photoionisation from the ground electronic state, and resonance-enhanced photoionisation via the electronically excited singlet states. The first two ionisation energies from the ground electronic state were confirmed to be 8.8 eV (adiabatic) and 9.6 eV (vertical). The ionisation energies from the first two electronically excited singlet states were found to be 3.7 eV (adiabatic) and 4.4 eV (vertical).",2024,,opencode_plaintext_search,"Joseph J. Broughton, Sarbani Patra, Michael A. Parkes, Graham A. Worth, Helen H. Fielding",Physical Chemistry Chemical Physics,10.1039/d4cp02504k,https://discovery.ucl.ac.uk/id/eprint/10197751,A multiphoton ionisation photoelectron imaging study of thiophene,online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T20:52:26.173673+00:00
s9,Michael Parkes,doi:10.1021/jacs.4c01543,Direct Observation of a Roaming Intermediate and Its Dynamics,"Chemical reactions are often characterized by their transition state, which defines the critical geometry the molecule must pass through to move from reactants to products. Roaming provides an alternative picture, where in a dissociation reaction, the bond breaking is frustrated and a loosely bound intermediate is formed. Following bond breaking, the two partners are seen to roam around each other at distances of several Ångstroms, forming a loosely bound, and structurally ill-defined, intermediate that can subsequently lead to reactive or unreactive collisions. Here, we present a direct and time-resolved experimental measurement of roaming. By measuring the photoelectron spectrum of UV-excited acetaldehyde with a femtosecond extreme ultraviolet pulse, we captured spectral signatures of all of the key reactive structures, including that of the roaming intermediate. This provided a direct experimental measurement of the roaming process and allowed us to identify the time scales by which the roaming intermediate is formed and removed and the electronic potential surfaces upon which roaming proceeds.",2024,,opencode_plaintext_search,"Grite L. Abma, Michael A. Parkes, Weronika O. Razmus, Yu Zhang, Adam S. Wyatt, Emma Springate, Richard T. Chapman, Daniel A. Horke, Russell S. Minns",Journal of the American Chemical Society,10.1021/jacs.4c01543,https://discovery.ucl.ac.uk/id/eprint/10191908,Direct Observation of a Roaming Intermediate and Its Dynamics,online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T20:52:26.173673+00:00
s9,Michael Parkes,doi:10.1021/acs.jpclett.4c00768,Preparation of Tautomer-Pure Molecular Beams by Electrostatic Deflection,"Tautomers are ubiquitous throughout chemistry and typically considered inseparable in solution. Yet (bio)chemical activity is highly tautomer-specific, with common examples being the amino and nucleic acids. While tautomers exist in an equilibrium in solution, in the cold environment of a molecular beam the barrier to tautomerization is typically much too high for interconversion, and tautomers can be considered separate species. Here we demonstrate the first separation of tautomers within a molecular beam and the production of tautomerically pure gas-phase samples. We show this for the 2-pyridone/2-hydroxypyridine system, an important structural motif in both uracil and cytosine. Spatial separation of the tautomers is achieved via electrostatic deflection in strong inhomogeneous fields. We furthermore collect tautomer-resolved photoelectron spectra using femtosecond multiphoton ionization. This paves the way for studying the structure–function–dynamic relationship on the level of individual tautomers, using approaches that typically lack the resolution to do so, such as ultrafast dynamics experiments.",2024,,opencode_plaintext_search,"Grite L. Abma, Michael A. Parkes, Daniel A. Horke",The Journal of Physical Chemistry Letters,10.1021/acs.jpclett.4c00768,https://discovery.ucl.ac.uk/id/eprint/10191736,Preparation of Tautomer-Pure Molecular Beams by Electrostatic Deflection,online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T20:52:26.173673+00:00
s12,Frank Smith,doi:10.1098/rspa.2023.0688,Melting of wall-mounted ice in shear flow,"The melting of wall-mounted ice deep inside a water layer flow is investigated, the ice being initially in the form of a slender hump or step-up and the oncoming water upstream near the wall being warmer than the ice. The wall is at the same temperature as the oncoming water except beneath the ice where the wall temperature is the same as that of the ice. The unsteady interaction of the flow, heat transfer and phase change is studied analytically and computationally for a basic pure-ice model in two spatial dimensions at high flow rates. In-flow predictions of ice-shape evolution are presented along with the complete melting times and the vanishing points where melting is completed on the solid surface. This is for a range of initial conditions and background heat transfers. The unsteady movement of the contact points at the edges of the ice formation is determined explicitly for the cases of humps and steps, together with the ultimate behaviours of both the ice humps and the ice steps. Effects of reducing the sub-ice wall temperature and accretion leading to flow separation are also discussed.",2024,,opencode_plaintext_search,"Jolley, Ellen; Dang, TD; Smith, Frank","Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",10.1098/rspa.2023.0688,https://discovery.ucl.ac.uk/id/eprint/10188808/,Melting of wall-mounted ice in shear flow,online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T21:13:56.395090+00:00
s12,Frank Smith,doi:10.1007/s00162-023-00684-9,Fluid flow past a freely moving body in a straight or distorted channel,"The focus here is on a thin solid body passing through a channel flow and interacting with the flow. Unsteady two-dimensional interactive properties from modelling, analysis and computation are presented along with comparisons. These include the effects of a finite dilation or constriction, as the body travels through, and the effects of a continuing expansion of the vessel. Finite-time clashing of the body with the channel walls is investigated as well as the means to avoid clashing. Sustained oscillations are found to be possible. Wake properties behind the body are obtained, and broad agreement in trends between full-system and reduced-system responses is found for increased body mass.",2024,,opencode_plaintext_search,"Yazar, S; Liu, Q; Smith, FT",Theoretical and Computational Fluid Dynamics,10.1007/s00162-023-00684-9,https://discovery.ucl.ac.uk/id/eprint/10186461/,Fluid flow past a freely moving body in a straight or distorted channel,online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T21:13:56.395090+00:00
s12,Frank Smith,doi:10.1063/5.0145552,"Interactions between a heavy particle, air, and a layer of liquid","As an aircraft flies through cloud at temperatures below freezing, it encounters ice particles and supercooled droplets which results in the accretion of ice onto its surfaces and hence deformation of its aerodynamic shape. This can, in worst cases, cause series accidents. Here, we focus on tackling the common situation where there is a thin layer of water on the aircraft surface and the particles are similarly thin such as to be able to interact with the water layer. Three-way interaction occurs between air, water and body motion: under suitable assumptions (including that the Reynolds and Froude numbers are large, and that the body is much denser than the air) the model allows the shape of the layer interface and pressure profile beneath the body to be calculated for a given body position. Simultaneously, this in turn allows the forces on the body to be calculated and hence the motion of the particle to be computed in full. The result is a wide range of possible motions of the particle, including both 'sink' cases (the particle enters the water and becomes submerged) and 'skim' cases (where the particle is launched back off the surface of the water following contact). The latter cases have analogy with traditional 'stone skimming/skipping' games. Repeated skims and significant wakes are accommodated rationally.",2023,,opencode_plaintext_search,"Jolley, Ellen; Smith, Frank",Physics of Fluids,10.1063/5.0145552,https://discovery.ucl.ac.uk/id/eprint/10167916/,"Interactions between a heavy particle, air, and a layer of liquid",online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T21:13:56.395090+00:00
s12,Frank Smith,doi:10.1017/jfm.2023.527,On the flow past ellipses in a Hele-Shaw cell,"n this work we investigate the effect of vertical confinement and inertia on the flow past thin ellipses in a Hele-Shaw cell (with centre line velocity Uc and height 2 h ) with different aspect ratios for symmetrical flows and at an angle of attack, using asymptotic methods and numerical simulations. A Stokes region is identified at the ellipse vertices which results in flow different to flow past bluff bodies. Comparison with asymptotic analysis indicates close agreement over the 'flat' portion of the ellipse, for δ=(b/a)=0.05 , where a and b are the semi-major and -minor ellipse axes, respectively. Two flow conditions are investigated for ellipses at an angle of attack of 10 ∘ for a fixed δ=0.05 . Firstly, for Λ=(Uca/ν)(h/a)2≪1 , the effect of increasing the vertical confinement of the Hele-Shaw cell results in the rear stagnation point (RSP) moving from close to the potential-flow prediction when ϵ=h/a is very small to the two-dimensional Stokes-flow prediction when ϵ is large. Secondly, for a fixed ϵ≪1 , when inertia is increased past Λ=O(ϵ) the RSP moves towards the trailing edge and is located there for Λ=O(1) . Under these conditions an attached exponentially decaying shear layer or 'viscous tail' is formed. A modified Bernoulli equation of the depth-averaged flow, together with the Kutta–Joukowski theorem is used to predict the drag and lift coefficients on the ellipse, which include a linear and a nonlinear contribution, corresponding to a Hele-Shaw and circulation component, respectively. Close agreement is found up to Λ=O(1) .",2023,,opencode_plaintext_search,"Klettner, CA; Dang, TD; Smith, FT",Journal of Fluid Mechanics,10.1017/jfm.2023.527,https://discovery.ucl.ac.uk/id/eprint/10177333/,On the flow past ellipses in a Hele-Shaw cell,online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T21:13:56.395090+00:00
s12,Frank Smith,doi:10.1098/rspa.2022.0311,The role of body shape and mass in skimming on water,"Over many years, there has been great practical interest in how solid bodies interact with and skim on liquid layers. In the present investigation, the focus is on the important role of body mass and shape in such skimming motions. Considering a thin two-dimensional solid body that impacts obliquely and then rebounds on a shallow inviscid water layer, we develop a mathematical model to predict quantitatively the duration and evolution of the body and fluid motions and indeed the success or failure of the whole skim. In the current setting, the shallow water layer thickness is small relative to the representative body length. The combined roles of increased mass and shape are found to be crucial, governed by a similarity solution. The relationship C ∼ M2/3 between scaled body curvature and mass is identified and highlighted. In particular, increased convex curvature of the underbody is found to alter the interactive pressure in such a way that it inhibits the occurrence of a super-elastic response in the exit vertical velocity and height of the body, and in effect enables a much heavier body to skim successfully provided the above relationship is maintained.",2023,,opencode_plaintext_search,"Palmer, RA; Smith, FT","Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",10.1098/rspa.2022.0311,https://discovery.ucl.ac.uk/id/eprint/10163295/,The role of body shape and mass in skimming on water,online search result,latest:5,true,"Matched using the UCL name, department, role, email, and homepage supplied in the search prompt.",opencode/nemotron-3-ultra-free,2026-06-23T21:13:56.395090+00:00
